2022-05-19 21:05:628 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:350 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:467 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (08511b6d73c868147b2b99152a30b3f8)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:643 INFO  HomePage :39 - Link On search Cars link:[[ChromeDriver: chrome on WINDOWS (08511b6d73c868147b2b99152a30b3f8)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:502 INFO  CarSearchPage :42 - get the text of car search page text : [[ChromeDriver: chrome on WINDOWS (08511b6d73c868147b2b99152a30b3f8)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 23:05:664 INFO  CarSearchPage :47 - select the make for car from drop down Holden
2022-05-19 23:05:782 INFO  CarSearchPage :52 - select the model for car from drop down Belmont
2022-05-19 23:05:904 INFO  CarSearchPage :57 - select the location for car from drop down NSW - Central West
2022-05-19 23:05:08 INFO  CarSearchPage :62 - select the price for car from drop down $70,000
2022-05-19 23:05:51 INFO  SearchResultPage :22 - get the text of car search result car : [[ChromeDriver: chrome on WINDOWS (08511b6d73c868147b2b99152a30b3f8)] -> xpath: //h1[@class="listing-search-title"]]
2022-05-19 23:05:784 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:171 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (a3898499385f5f922b529d6f01db3228)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:528 INFO  HomePage :39 - Link On search Cars link:[[ChromeDriver: chrome on WINDOWS (a3898499385f5f922b529d6f01db3228)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:762 INFO  CarSearchPage :42 - get the text of car search page text : [[ChromeDriver: chrome on WINDOWS (a3898499385f5f922b529d6f01db3228)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 23:05:905 INFO  CarSearchPage :47 - select the make for car from drop down Mazda
2022-05-19 23:05:14 INFO  CarSearchPage :52 - select the model for car from drop down B4000
2022-05-19 23:05:112 INFO  CarSearchPage :57 - select the location for car from drop down NSW - Far West
2022-05-19 23:05:227 INFO  CarSearchPage :62 - select the price for car from drop down $90,000
2022-05-19 23:05:664 INFO  SearchResultPage :22 - get the text of car search result car : Proxy element for: DefaultElementLocator 'By.xpath: //h1[@class="listing-search-title"]'
2022-05-19 23:05:797 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:529 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (815b389695c85f301440db3d77472726)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:750 INFO  HomePage :39 - Link On search Cars link:[[ChromeDriver: chrome on WINDOWS (815b389695c85f301440db3d77472726)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:885 INFO  CarSearchPage :42 - get the text of car search page text : [[ChromeDriver: chrome on WINDOWS (815b389695c85f301440db3d77472726)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 23:05:37 INFO  CarSearchPage :47 - select the make for car from drop down Suzuki
2022-05-19 23:05:145 INFO  CarSearchPage :52 - select the model for car from drop down Jimny
2022-05-19 23:05:240 INFO  CarSearchPage :57 - select the location for car from drop down NSW - Riverina
2022-05-19 23:05:323 INFO  CarSearchPage :62 - select the price for car from drop down $30,000
2022-05-19 23:05:216 INFO  SearchResultPage :22 - get the text of car search result car : [[ChromeDriver: chrome on WINDOWS (815b389695c85f301440db3d77472726)] -> xpath: //h1[@class="listing-search-title"]]
2022-05-19 23:05:943 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:180 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (d479f66cd6b60f35c3393eab726659ee)] -> xpath: //a[contains(text(),'buy + sell')]]
